gamma,auc,auc_beyond_distance
0.0,nan,nan
0.01,0.513310,0.456597
0.01778,0.504630,0.449074
0.03162,0.503472,0.457176
0.05623,0.495949,0.453704
0.1,0.478588,0.423032
0.1778,0.478009,0.413773
0.3162,0.466435,0.395833
0.5623,0.475116,0.367477
1.0,0.485532,0.361111
1.778,0.483218,0.338831
3.162,0.490741,0.338542
5.623,0.497106,0.336806
10.0,0.515046,0.371528
17.78,0.521412,0.382523
31.62,0.527778,0.392940
56.23,0.540509,0.417245
100.0,0.549190,0.420718
