gamma,auc,control_mean,control_sd
0.0,0.574240,0.517138,0.065305
0.01,0.569231,0.522504,0.066036
0.01778,0.565653,0.525438,0.065298
0.03162,0.565295,0.531664,0.064828
0.05623,0.562433,0.540107,0.058883
0.1,0.563864,0.552272,0.051003
0.1778,0.566726,0.564723,0.041085
0.3162,0.567442,0.570805,0.028200
0.5623,0.577460,0.572379,0.021713
1.0,0.578891,0.571807,0.016152
1.778,0.571735,0.570161,0.008600
3.162,0.561002,0.566512,0.002973
5.623,0.557066,0.567728,0.003464
10.0,0.563864,0.572952,0.002006
17.78,0.582826,0.584902,0.000859
31.62,0.591055,0.593846,0.001206
56.23,0.611091,0.611592,0.000175
100.0,0.631485,0.631843,0.000506
