gamma,auc,control_mean,control_sd
0.0,0.506619,0.434526,0.064572
0.01,0.504114,0.438497,0.065946
0.01778,0.499106,0.437925,0.066622
0.03162,0.495886,0.445868,0.067646
0.05623,0.498748,0.453453,0.064964
0.1,0.500894,0.470411,0.058437
0.1778,0.511628,0.483828,0.055015
0.3162,0.506261,0.492630,0.040334
0.5623,0.511270,0.496100,0.032789
1.0,0.505188,0.491699,0.026057
1.778,0.483184,0.487335,0.013004
3.162,0.461538,0.475707,0.004602
5.623,0.455456,0.473202,0.006323
10.0,0.457961,0.472057,0.002683
17.78,0.473703,0.476315,0.001146
31.62,0.495886,0.501252,0.002817
56.23,0.532737,0.534168,0.000599
100.0,0.584973,0.586118,0.001095
