gamma,auc,auc_beyond_distance
0.0,nan,nan
0.01,0.557066,0.484794
0.01778,0.512343,0.438283
0.03162,0.491592,0.417889
0.05623,0.466905,0.395349
0.1,0.440787,0.365653
0.1778,0.440787,0.352057
0.3162,0.452952,0.355635
0.5623,0.490877,0.396422
1.0,0.535242,0.434705
1.778,0.559928,0.442218
3.162,0.563148,0.447943
5.623,0.570662,0.462612
10.0,0.573882,0.469767
17.78,0.585331,0.476386
31.62,0.595349,0.502326
56.23,0.611807,0.534884
100.0,0.631843,0.586762
