gamma,transport_distal_mean,control_mean,control_sd
0.0,0.086747,0.082612,0.001798
0.01,0.088231,0.084038,0.001864
0.01778,0.089257,0.085039,0.001909
0.03162,0.090847,0.086621,0.001971
0.05623,0.093089,0.088926,0.002037
0.1,0.095834,0.091913,0.002061
0.1778,0.098625,0.095227,0.001971
0.3162,0.100965,0.098324,0.001731
0.5623,0.102626,0.100724,0.001368
1.0,0.103460,0.102065,0.000973
1.778,0.103052,0.101971,0.000632
3.162,0.100664,0.099853,0.000367
5.623,0.095272,0.094719,0.000191
10.0,0.085513,0.085165,0.000115
17.78,0.070408,0.070218,0.000073
31.62,0.051072,0.050991,0.000033
56.23,0.031115,0.031087,0.000011
100.0,0.015100,0.015092,0.000003
