gamma,auc,auc_beyond_distance
0.0,nan,nan
0.01,0.442645,0.458502
0.01778,0.433873,0.452429
0.03162,0.425439,0.433198
0.05623,0.401484,0.417004
0.1,0.384278,0.386302
0.1778,0.384615,0.380229
0.3162,0.391700,0.393725
0.5623,0.405533,0.413293
1.0,0.412955,0.422740
1.778,0.417679,0.406208
3.162,0.394062,0.347841
5.623,0.380567,0.324899
10.0,0.366397,0.306005
17.78,0.355938,0.271255
31.62,0.354926,0.261471
56.23,0.378205,0.281714
100.0,0.415655,0.339744
