gamma,auc,auc_beyond_distance
0.0,nan,nan
0.01,0.763566,0.643411
0.01778,0.802326,0.705426
0.03162,0.811370,0.720930
0.05623,0.811370,0.723514
0.1,0.806202,0.709302
0.1778,0.811370,0.713178
0.3162,0.838501,0.737726
0.5623,0.817829,0.652455
1.0,0.807494,0.608527
1.778,0.797158,0.581395
3.162,0.779070,0.540052
5.623,0.766150,0.502584
10.0,0.770026,0.498708
17.78,0.789406,0.527132
31.62,0.812661,0.564599
56.23,0.838501,0.593023
100.0,0.878553,0.627907
