gamma,auc,auc_beyond_distance
0.0,nan,nan
0.01,0.481532,0.252477
0.01778,0.472072,0.248423
0.03162,0.462162,0.232658
0.05623,0.484234,0.265090
0.1,0.501351,0.299324
0.1778,0.516216,0.317793
0.3162,0.536937,0.320045
0.5623,0.555856,0.319595
1.0,0.603153,0.356532
1.778,0.669369,0.419595
3.162,0.715315,0.520045
5.623,0.730180,0.559910
10.0,0.738288,0.581757
17.78,0.737838,0.580856
31.62,0.743243,0.585811
56.23,0.753604,0.606982
100.0,0.759009,0.624099
