gamma,auc,auc_beyond_distance
0.0,nan,nan
0.01,0.093515,0.166588
0.01778,0.086936,0.154840
0.03162,0.082707,0.135338
0.05623,0.078008,0.117011
0.1,0.077538,0.115602
0.1778,0.077068,0.115602
0.3162,0.078477,0.120771
0.5623,0.084586,0.124060
1.0,0.109023,0.113487
1.778,0.147086,0.199483
3.162,0.163064,0.264568
5.623,0.171992,0.309211
10.0,0.174342,0.328242
17.78,0.174812,0.329182
31.62,0.174812,0.320959
56.23,0.175752,0.304981
100.0,0.180921,0.307801
