gamma,auc,auc_beyond_distance
0.0,nan,nan
0.01,0.780702,0.602705
0.01778,0.797149,0.626096
0.03162,0.807018,0.634868
0.05623,0.819810,0.623173
0.1,0.842836,0.639985
0.1778,0.858553,0.671966
0.3162,0.879020,0.728801
0.5623,0.899488,0.770102
1.0,0.920322,0.824927
1.778,0.927997,0.834430
3.162,0.934942,0.841374
5.623,0.934211,0.843202
10.0,0.925804,0.832968
17.78,0.905336,0.800987
31.62,0.878655,0.757675
56.23,0.855263,0.709064
100.0,0.837354,0.649488
