gamma,auc,auc_beyond_distance
0.0,nan,nan
0.01,0.310084,0.202521
0.01778,0.315126,0.203361
0.03162,0.314286,0.202521
0.05623,0.313445,0.210924
0.1,0.315126,0.215126
0.1778,0.326891,0.224370
0.3162,0.337815,0.231933
0.5623,0.346218,0.229412
1.0,0.384874,0.238655
1.778,0.476471,0.380672
3.162,0.567227,0.521849
5.623,0.602521,0.571429
10.0,0.613445,0.578151
17.78,0.609244,0.575630
31.62,0.589916,0.543697
56.23,0.553782,0.488235
100.0,0.525210,0.433613
