gamma,auc,auc_beyond_distance
0.0,nan,nan
0.01,0.478130,0.725490
0.01778,0.489819,0.736802
0.03162,0.498869,0.754525
0.05623,0.502262,0.776395
0.1,0.493213,0.774133
0.1778,0.458145,0.769985
0.3162,0.407994,0.747360
0.5623,0.370287,0.725113
1.0,0.344268,0.717572
1.778,0.319005,0.706259
3.162,0.288839,0.659879
5.623,0.274133,0.608974
10.0,0.267722,0.599170
17.78,0.259050,0.571644
31.62,0.245852,0.526018
56.23,0.236802,0.489065
100.0,0.228884,0.458899
