gamma,auc,auc_beyond_distance
0.0,nan,nan
0.01,0.873958,0.765278
0.01778,0.872569,0.762847
0.03162,0.870139,0.762847
0.05623,0.880208,0.779167
0.1,0.886806,0.776389
0.1778,0.890972,0.768403
0.3162,0.894444,0.769792
0.5623,0.890972,0.765625
1.0,0.872569,0.726042
1.778,0.864583,0.698264
3.162,0.856597,0.682292
5.623,0.854861,0.684722
10.0,0.852083,0.686111
17.78,0.845833,0.678125
31.62,0.842361,0.668056
56.23,0.837847,0.657639
100.0,0.835764,0.665625
