cutoff,scale,residues,contacts,beyond_distance_best,best_gamma,noise_hump,gain_over_ends,p_value,classical_best,quantum_minus_classical,energy_weighted_best,quantum_minus_energy_weighted,raw_best,proximity,transport_verdict,control_best_seed,seconds
7.0,1.0,282,1001,0.8597724230254351,0.05623,yes,0.04953145917001345,9.999000099990002e-05,0.5957161981258366,0.26405622489959846,0.7074966532797858,0.15227576974564927,0.6117804551539491,0.3649598393574297,hump,,66.0
7.0,3.0,282,1001,0.7284136546184738,1.0,yes,0.2019745649263721,0.014698530146985302,0.5957161981258366,0.1326974564926372,0.7228915662650602,0.005522088353413612,0.4919678714859438,0.3649598393574297,hump,,72.0
7.0,5.0,282,1001,0.7193775100401606,3.162,yes,0.17151941097724221,0.0206979302069793,0.5957161981258366,0.12366131191432395,0.7341030789825971,-0.014725568942436484,0.4685408299866131,0.3649598393574297,hump,,79.6
8.0,1.0,282,1415,0.7108433734939759,1.0,yes,0.06961178045515393,0.023897610238976102,0.6552878179384204,0.05555555555555547,0.7309236947791165,-0.02008032128514059,0.4330655957161981,0.28714859437751006,hump,,78.2
8.0,3.0,282,1415,0.7272423025435074,1.778,yes,0.08768406961178055,0.013598640135986401,0.6552878179384204,0.07195448460508702,0.7275769745649264,-0.00033467202141901353,0.43105756358768405,0.28714859437751006,hump,,85.1
8.0,5.0,282,1415,0.7322623828647925,3.162,yes,0.09404283801874158,0.011898810118988102,0.6552878179384204,0.07697456492637211,0.7346050870147256,-0.0023427041499330947,0.4243641231593039,0.28714859437751006,hump,,93.0
9.0,1.0,282,1834,0.7931726907630522,3.162,yes,0.04518072289156627,0.0010998900109989002,0.7821285140562249,0.011044176706827336,0.8346720214190094,-0.041499330655957234,0.3908969210174029,0.23092369477911648,hump,,93.7
9.0,3.0,282,1834,0.8480589022757697,3.162,yes,0.10107095046854087,0.00019998000199980003,0.7821285140562249,0.06593038821954489,0.8346720214190094,0.01338688085676032,0.45314591700133866,0.23092369477911648,hump,,101.6
9.0,5.0,282,1834,0.8417001338688086,5.623,yes,0.09203480589022761,0.00019998000199980003,0.7821285140562249,0.05957161981258374,0.8366800535475234,0.005020080321285203,0.4467871485943775,0.23092369477911648,hump,,110.5
