gamma,auc,auc_beyond_distance
0.0,nan,nan
0.01,0.814423,0.696154
0.01778,0.835897,0.730769
0.03162,0.838141,0.749038
0.05623,0.830769,0.739744
0.1,0.816346,0.702564
0.1778,0.800641,0.682692
0.3162,0.808974,0.688782
0.5623,0.821474,0.702885
1.0,0.823718,0.715385
1.778,0.827564,0.730769
3.162,0.820513,0.725000
5.623,0.808654,0.705449
10.0,0.799359,0.685897
17.78,0.778526,0.663141
31.62,0.755449,0.613462
56.23,0.744231,0.587179
100.0,0.735577,0.560417
