gamma,auc,auc_beyond_distance
0.0,nan,nan
0.01,0.589602,0.460177
0.01778,0.591814,0.460914
0.03162,0.584808,0.452802
0.05623,0.568215,0.432891
0.1,0.573378,0.442847
0.1778,0.581858,0.451327
0.3162,0.592920,0.458702
0.5623,0.613938,0.469764
1.0,0.608407,0.449668
1.778,0.618363,0.466999
3.162,0.626475,0.483591
5.623,0.637537,0.500000
10.0,0.650811,0.515855
17.78,0.664823,0.527102
31.62,0.684366,0.557522
56.23,0.702434,0.581858
100.0,0.707965,0.589786
