gamma,auc,auc_beyond_distance
0.0,nan,nan
0.01,0.719110,0.722034
0.01778,0.720619,0.718638
0.03162,0.722128,0.717035
0.05623,0.715714,0.705150
0.1,0.709489,0.696095
0.1778,0.697793,0.692605
0.3162,0.684211,0.692228
0.5623,0.686852,0.696095
1.0,0.679306,0.711187
1.778,0.668553,0.698830
3.162,0.650443,0.679589
5.623,0.637804,0.662799
10.0,0.632899,0.659687
17.78,0.632522,0.667987
31.62,0.638370,0.701000
56.23,0.643275,0.736653
100.0,0.641577,0.763535
