gamma,auc,auc_beyond_distance
0.0,nan,nan
0.01,0.419009,0.586011
0.01778,0.402945,0.577309
0.03162,0.382530,0.569277
0.05623,0.364458,0.557564
0.1,0.336345,0.533133
0.1778,0.317269,0.515060
0.3162,0.285475,0.480589
0.5623,0.244311,0.374163
1.0,0.214190,0.325636
1.778,0.196787,0.290161
3.162,0.189424,0.265060
5.623,0.184404,0.245315
10.0,0.187751,0.234940
17.78,0.191098,0.232597
31.62,0.199130,0.237617
56.23,0.217871,0.265730
100.0,0.238621,0.293507
