gamma,auc,auc_beyond_distance
0.0,nan,nan
0.01,0.137764,0.478433
0.01778,0.142165,0.467430
0.03162,0.142606,0.444982
0.05623,0.131602,0.442342
0.1,0.121479,0.433979
0.1778,0.107835,0.401408
0.3162,0.101673,0.415273
0.5623,0.091989,0.394586
1.0,0.077025,0.414173
1.778,0.072623,0.433539
3.162,0.074824,0.471831
5.623,0.075264,0.466549
10.0,0.073504,0.457306
17.78,0.072183,0.457306
31.62,0.072623,0.455106
56.23,0.068222,0.456866
100.0,0.066901,0.451144
