gamma,auc,auc_beyond_distance
0.0,nan,nan
0.01,0.381526,0.553548
0.01778,0.364123,0.525100
0.03162,0.346051,0.496821
0.05623,0.328313,0.482597
0.1,0.317938,0.474732
0.1778,0.333333,0.518072
0.3162,0.353748,0.561914
0.5623,0.391566,0.651606
1.0,0.421017,0.710174
1.778,0.420683,0.727577
3.162,0.400937,0.714525
5.623,0.382865,0.686078
10.0,0.369143,0.671017
17.78,0.361111,0.654618
31.62,0.354752,0.658635
56.23,0.347055,0.652276
100.0,0.337349,0.641232
