gamma,auc,auc_beyond_distance
0.0,nan,nan
0.01,0.279444,0.358333
0.01778,0.267778,0.336111
0.03162,0.255000,0.312778
0.05623,0.246667,0.281667
0.1,0.250000,0.273889
0.1778,0.266111,0.298889
0.3162,0.292222,0.363889
0.5623,0.308889,0.417222
1.0,0.316667,0.462778
1.778,0.312778,0.460000
3.162,0.312778,0.461667
5.623,0.307778,0.450000
10.0,0.297778,0.405556
17.78,0.288889,0.365000
31.62,0.290000,0.346111
56.23,0.291667,0.335000
100.0,0.292778,0.329444
