gamma,auc,auc_beyond_distance
0.0,nan,nan
0.01,0.739641,0.546073
0.01778,0.758813,0.564626
0.03162,0.773655,0.595547
0.05623,0.766234,0.594310
0.1,0.773655,0.606061
0.1778,0.781694,0.605442
0.3162,0.786024,0.601732
0.5623,0.774273,0.589363
1.0,0.764997,0.570192
1.778,0.772418,0.570810
3.162,0.787260,0.593692
5.623,0.802103,0.607297
10.0,0.821274,0.633271
17.78,0.834879,0.630798
31.62,0.850959,0.653680
56.23,0.857761,0.672851
100.0,0.843537,0.661101
